firstname,lastname,pitch_type,release_speed,horizontal_break,induced_vertical_break,Trunk_Lean_BR,Arm_Slot_Updated,Sho_AbAd_BR,Total Arm Angle,Arm_Slot_Bucket,abs_horizontal_break
Seth,Mejia,SI,85.79256,14.63091,16.04795,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,14.63091
Seth,Mejia,FB,85.65867,9.59418,17.92199,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,9.59418
Seth,Mejia,CH,81.68395,17.2626,7.38526,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,17.2626
Seth,Mejia,SL,77.05679,-15.92017,6.76534,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,15.92017
Seth,Mejia,FB,86.59168,16.69446,16.00301,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,16.69446
Seth,Mejia,FB,86.46322,12.08059,16.90146,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,12.08059
Seth,Mejia,SI,86.35349,10.57065,17.02132,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,10.57065
Seth,Mejia,SI,86.26397,15.94269,12.91209,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,15.94269
Seth,Mejia,SL,75.50329,-11.74458,-5.83184,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,11.74458
Seth,Mejia,FB,86.76788,13.04283,16.39735,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,13.04283
Seth,Mejia,FB,86.10414,10.14787,17.19482,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,10.14787
Seth,Mejia,SI,84.96567,11.502,13.56667,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,11.502
Seth,Mejia,CH,80.69527,14.95214,7.78222,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,14.95214
Seth,Mejia,SL,74.8138,-19.91066,-0.7226,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,19.91066
Seth,Mejia,FB,83.46923,13.26365,15.44668,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,13.26365
Seth,Mejia,CH,78.98237,12.87027,10.07074,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,12.87027
Seth,Mejia,FB,85.81847,14.88301,17.72998,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,14.88301
Seth,Mejia,FB,84.87579,12.17745,17.18815,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,12.17745
Seth,Mejia,SL,74.87778,-14.30375,-5.80008,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,14.30375
Seth,Mejia,FB,83.55303,17.95348,15.0089,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,17.95348
Seth,Mejia,CH,79.10411,21.31565,3.31127,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,21.31565
Seth,Mejia,SL,74.46177,-17.67929,-3.49701,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,17.67929
Seth,Mejia,CH,80.81516,15.13967,8.86669,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,15.13967
Seth,Mejia,CH,79.60604,19.84699,7.02369,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,19.84699
Seth,Mejia,FB,83.6879,12.20993,16.30774,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,12.20993
Seth,Mejia,CH,79.36149,17.19016,7.58505,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,17.19016
Seth,Mejia,CH,79.48549,19.35678,3.72147,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,19.35678
Seth,Mejia,FB,84.60058,13.70993,16.76897,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,13.70993
Seth,Mejia,FB,85.0863,10.57023,19.24808,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,10.57023
Seth,Mejia,CH,80.75873,15.03889,9.87533,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,15.03889
Seth,Mejia,FB,83.70057,14.65704,15.07265,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,14.65704
Seth,Mejia,FB,85.31127,12.64999,17.4114,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,12.64999
Seth,Mejia,SL,73.62013,-16.54082,-3.04137,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,16.54082
Seth,Mejia,FB,83.60753,12.23065,15.70624,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,12.23065
Seth,Mejia,CH,79.18125,17.56883,5.58196,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,17.56883
Seth,Mejia,FB,84.56965,11.19119,15.70513,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,11.19119
Seth,Mejia,SI,85.3847,13.42817,13.65538,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,13.42817
Seth,Mejia,CH,80.3159,18.16674,9.77629,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,18.16674
Seth,Mejia,CH,80.2261,16.65292,4.03058,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,16.65292
Seth,Mejia,FB,85.62169,10.13269,17.79925,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,10.13269
Seth,Mejia,SL,75.46735,-13.22696,-5.93105,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,13.22696
Seth,Mejia,SL,74.58796,-15.81811,-1.65334,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,15.81811
Seth,Mejia,SL,74.73447,-15.83132,-5.08088,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,15.83132
Seth,Mejia,CH,79.86466,17.67259,3.4585,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,17.67259
Seth,Mejia,CH,79.16275,17.27102,1.33079,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,17.27102
Seth,Mejia,SI,84.02705,17.12708,12.47936,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,17.12708
Seth,Mejia,SL,73.97687,-15.23315,-3.345,-28.77832642857143,59.381391428571426,88.72885071428571,59.396935000000006,HIGH 3/4,15.23315
Pierce,Hartmann,FB,88.04267,12.90054,17.96345,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,12.90054
Pierce,Hartmann,CH,78.58491,14.4203,16.28074,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,14.4203
Pierce,Hartmann,SL,78.73396,-4.67205,-0.89952,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,4.67205
Pierce,Hartmann,SL,77.8425,-3.82083,-1.98147,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,3.82083
Pierce,Hartmann,FB,88.3229,15.10995,20.29153,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,15.10995
Pierce,Hartmann,CH,78.70772,12.95378,18.71417,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,12.95378
Pierce,Hartmann,FB,88.0147,8.7533,21.53436,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,8.7533
Pierce,Hartmann,FB,89.14766,12.1311,19.70629,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,12.1311
Pierce,Hartmann,FB,88.99378,14.06582,17.90345,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,14.06582
Pierce,Hartmann,CB,76.5226,-12.50501,-2.90699,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,12.50501
Pierce,Hartmann,CB,74.27806,-10.6574,-9.21841,-23.749647272727273,52.99744727272727,90.9762909090909,60.7522,OTT,10.6574
Sam,Kluever,SL,80.22933,-19.56066,4.42848,-15.583683000000002,68.596583,83.53431,36.98710000000001,3/4,19.56066
Sam,Kluever,SL,79.32839,-20.01813,-1.99606,-15.583683000000002,68.596583,83.53431,36.98710000000001,3/4,20.01813
Sam,Kluever,SI,90.92786,19.51045,16.86269,-15.583683000000002,68.596583,83.53431,36.98710000000001,3/4,19.51045
Sam,Kluever,SI,90.42021,13.3406,13.4869,-15.583683000000002,68.596583,83.53431,36.98710000000001,3/4,13.3406
Sam,Kluever,SI,89.51088,17.87207,14.98464,-15.583683000000002,68.596583,83.53431,36.98710000000001,3/4,17.87207
Sam,Kluever,SL,79.33541,-17.03738,1.57585,-15.583683000000002,68.596583,83.53431,36.98710000000001,3/4,17.03738
Sam,Kluever,SI,90.08825,13.03572,13.81058,-15.583683000000002,68.596583,83.53431,36.98710000000001,3/4,13.03572
